"","X","ticker","date","name","est","sector","industry","industry_group","marcap","invested_capital","total_equity","total_debt","pretax_income","dividends","roic"
"905",1,"PBP","2016-06-30",NA,NA,"Healthcare","Drug Manufacturers - Specialty & Generic",NA,39170,55.11,43.63,14.92,4.01,0,0.0727635637815278
"906",1,"PBT","2015-06-30",NA,NA,"Healthcare","Biotechnology",NA,52790,39.11,39.11,NA,-5.89,NA,NA
"907",1,"PCH","2015-09-30",NA,NA,NA,NA,NA,280,-0.05,-0.05,NA,-0.7,0,14
"908",1,"PCL","2015-06-30",NA,NA,NA,NA,NA,4600,13.62,13.62,NA,-41.88,0,-3.07488986784141
"909",1,"PDN","2016-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,281800,556.5,48.9,429.2,-122,NA,NA
"910",1,"PDY","2015-06-30",NA,NA,NA,NA,NA,0,2.61,2.61,NA,-10.5,0,-4.02298850574713
"911",1,"PDZ","2015-06-30",NA,NA,"Basic Materials","Coal",NA,27020,9.4,9.4,NA,-5.15,NA,NA
"912",1,"PEA","2016-06-30",NA,NA,NA,NA,NA,225650,178.82,136.84,41.98,15.73,-9.25,0.0362375573202103
"913",1,"PEC","2015-06-30",NA,NA,"Basic Materials","Coal",NA,2130,1.49,0.68,0.82,-1.91,0,-1.28187919463087
"914",1,"PEK","2015-06-30",NA,NA,NA,NA,NA,21910,42.38,33.46,8.92,-4.2,0,-0.099103350637093
"915",1,"PEL","2015-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,1720,2.58,1.77,NA,-1.42,0,-0.550387596899225
"916",1,"PEP","2015-12-31",NA,NA,NA,NA,NA,682330,10813.18,408.62,10403.05,3.46,-1.9,0.000144268383583738
"917",1,"PEZ","2015-12-31",NA,NA,NA,NA,NA,26550,203.65,200.9,8.73,13.89,0,0.0682052541124478
"918",1,"PFG","2016-06-30",NA,NA,NA,NA,NA,19650,41.69,44.71,3.58,3.23,-1.42,0.0434156872151595
"919",1,"PFM","2016-06-30",NA,NA,NA,NA,NA,4900,8.52,8.52,NA,-0.4,0,-0.0469483568075117
"920",1,"PGC","2016-06-30",NA,NA,NA,NA,NA,105320,110.1,72.77,38.15,7.53,-1.61,0.0537693006357857
"921",1,"PGI","2015-12-31",NA,NA,"Basic Materials","Gold",NA,8950,91.82,39,52.92,28.15,0,0.306578087562623
"922",1,"PGM","2016-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,17350,23.3,23.3,NA,-0.37,0,-0.0158798283261803
"923",1,"PGO","2015-06-30",NA,NA,NA,NA,NA,17340,14.21,14.21,NA,-0.88,0,-0.0619282195636875
"924",1,"PGR","2016-06-30",NA,NA,NA,NA,NA,95680,125.84,125.84,6.91,10.56,-7.79,0.0220120788302607
